id,name,title,start_date,end_date,organization_exit_date,price,exit,top_syndicate,person_id,funding_amount,candidate_id
109091,Harvest & Bloom,Founder,,,,,false,[],91994,0.55,30717
195238,Harvest & Bloom,Founder and Manager,,,,,false,[],91994,0.55,
109092,tute-genomics,Chief Scientific Officer,,,,0.0,true,[],91995,7.0,
109093,gene-by-gene-ltd-,Chief Scientific Officer,,,,0.0,false,[],91995,0.0,
109094,arpeggi,Founder & Chief Scientific Officer,,,,0.0,true,[],91995,0.0,
109095,Othram,Founder,,,,,false,[],91995,4.0,30718
109096,Nesterly,Founder,,,,,false,[],91996,0.0,30720
130476,Unusly,Founder,,,,,false,[],91997,0.0,34103
109097,White Dog Labs,Founder,,,,,false,[],91998,1.0,30723
109098,MamaP,Co-Founder,,,,,false,[],91999,0.0,30724
109099,MamaP,Co-Founder,,,,,false,[],92000,0.0,30724
109100,Wisy,Co-Founder,,,,,false,[],92001,1.17,30725
195242,Wisy,Co-founder and CTO,2016-04-05,,,,false,[],92001,1.6,
109101,Wisy,Co-Founder,,,,,false,[],92002,1.17,30725
195240,Wisy,Co-founder and Chief Advancement Officer (CAO),2016-04-05,,,,false,[],92002,1.6,
109102,Wisy,Co-Founder,,,,,false,[],92003,1.17,30725
195241,Wisy,Co-founder and Chief Commercial Officer (CCO),2016-12-18,,,,false,[],92003,1.6,
109103,Wisy,Co-Founder,,,,,false,[],92004,1.17,30725
195239,Wisy,Co-founder and CEO,2016-04-05,,,,false,[],92004,1.6,
109114,Stout AgTech,Co-Founder,,,,,false,[],92008,0.0,30732
109112,motivo-engineering,Head of Strategic Partnerships,,,,0.0,false,[],92009,0.0,
109113,robodondo,Managing Director,,,,0.0,true,[],92009,0.0,
109115,Stout AgTech,Co-Founder,,,,,false,[],92009,0.0,30732
109116,Stout AgTech,Co-Founder,,,,,false,[],92010,0.0,30732
109118,happiness-studies-academy,Co-Founder,,,,0.0,false,[],92012,0.0,
195246,Happiness Studies Academy,Co-Founder,2016-01-01,,,,false,[],92012,0.0,
109121,Positivly,Co-Founder,,,,,false,[],92012,0.25,30736
