id,name,location,linkedin_url,twitter_url
91639,Scott Benda,,,
91640,Luke Benda,,https://www.linkedin.com/in/luke-benda/,
91641,Braden Davidson,,https://www.linkedin.com/in/braden-davidson-4a08a398/,
91642,Tristan Louis,,http://www.linkedin.com/in/tristanlouis,
91643,Kristin Janssen,,https://www.linkedin.com/in/kristin-janssen-3a004426/,
91644,Nicole Tecco Reece,,https://www.linkedin.com/in/nicotec/,
91645,Brian Johnson,,https://www.linkedin.com/in/casecommonsbrian/,
91650,Kevin Fortuna,,,kevinfortuna
91651,Mark Westlake,,,
91654,Nejc Skoberne,,https://www.linkedin.com/in/nejcskoberne/,
91655,Klemen Hrovat,,,
91656,Rafael Rosengarten,,https://www.linkedin.com/in/rafael-rosengarten-b534202b/,
91657,Miha Stajdohar,,,
91658,Luka Ausec,,,
91687,Yu Sunny Han,,https://www.linkedin.com/in/yusunnyhan/,
91690,Sarmad Malik,,,
91691,Eddy Aruda,,,
91695,Nikolay Lyubimov,,,
91696,Maxim Tkachenko,,https://www.linkedin.com/in/makseq/,
91697,Mikhail Malyuk,,https://www.linkedin.com/in/mikhail-malyuk/,
91698,Yang Zheng,,https://www.linkedin.com/in/yang-zheng-90089539/,
91699,Hatim Hassan,,,
91700,Stuart Law,,https://www.linkedin.com/in/stuartalaw,
91701,Peter Read,,https://www.linkedin.com/in/peter-read-assetzexchange/,
91702,Constance Finley,,https://www.linkedin.com/in/constancefinley,
91703,Cory Kennedy,,https://www.linkedin.com/in/cory-kennedy-09895256/,
91708,Peter Flores,,https://www.linkedin.com/in/peterflores/,
91709,Heather Flannery,,https://www.linkedin.com/in/heatherflannery/,
91710,Janet Campbell,,https://www.linkedin.com/in/janet-campbell-992867105/,
91711,J. Arturo Bonilla,,https://www.linkedin.com/in/arturo-bonilla-m-d-21574966/,
91712,Hwan Keun Kim,,https://www.linkedin.com/in/hwan-kim-5623066a/,
91713,Dominique Missiakas,,https://www.linkedin.com/in/dominique-missiakas-ba8b275/,
91714,Olaf Schneewind,,https://www.linkedin.com/in/olaf-schneewind-14472a22/,
91715,Brendan Hannah,,https://www.linkedin.com/in/brendan-hannah-b5687118/,
91718,David Shapiro,,https://www.linkedin.com/in/dshapiro1/,
91719,Mehmet Toner,,,
91720,Daniel Haber,,,
91721,Shyamala Maheswaran,,,
91722,Ravi Kapur,,https://www.linkedin.com/in/drravikapur,
91723,Hart Lambur,,http://www.linkedin.com/in/hartlambur,
91724,Ashish Khare,,https://www.linkedin.com/in/ashish-khare-94161723/,
91725,Jaideep Sen,,https://www.linkedin.com/in/jaideep-sen-21294587/,
91726,Salman Habib,,https://www.linkedin.com/in/msalmanhabib/,
91727,Shaban Habib,,https://www.linkedin.com/in/waleedawan1/,
91728,Jon Shanahan,,https://www.linkedin.com/in/shanahanjon/,
91729,Devir Kahan,,https://www.linkedin.com/in/devirkahan/,
91731,Rob May,,https://www.linkedin.com/in/robmay,
68114,Will Murphy,,https://www.linkedin.com/in/willmurphy/,
91732,Christos Nicolaidis,,https://www.linkedin.com/in/cnicolaidis/,
91733,Achille Verheye,,https://www.linkedin.com/in/achilleverheye/,
91734,Ashis Ghosh,,https://www.linkedin.com/in/ashisghosh/,
91735,Stephen Hansen,,https://www.linkedin.com/in/stephenjhansen8/,
91736,Jeri Ellsworth,,https://www.linkedin.com/in/jeriellsworth,
91737,Jamie Gennis,,https://www.linkedin.com/in/jamie-gennis-24553218/,
91738,Sean Longworth,,https://www.linkedin.com/in/seanlongworth,
91739,Aryan Bhatnagar,,https://www.linkedin.com/in/aryan-bhatnagar-01a677151/,
91740,Mark Boudreau,,,
91741,Paul Viskovich,,,
91744,Tim Coulter,,https://www.linkedin.com/in/timothyjcoulter,
91217,Daniel Burnett,,https://www.linkedin.com/in/daniel-burnett-4732771/,
91745,JB Straubel,,,
91746,Jalal Sulaiman,,https://www.linkedin.com/in/jalal-sulaiman-1ba5425/,
91747,Jessica Valenzuela,,http://www.linkedin.com/in/jessicavalenzuela,
91748,Chris O'Connor,,,
91749,Richard Everts,,https://www.linkedin.com/in/richeverts/,
91750,Ralph Clements,,,
91751,Jeff Linihan,,https://www.linkedin.com/in/jefflinihan/,
91752,Sam Koplar,,,
91753,RJ Jones,,https://www.linkedin.com/in/rrrrrj,RrrrrJ
91754,Bob Koplar,,,
91755,Brian Handrigan,,https://www.linkedin.com/in/bhandrigan,
91760,Christopher Pierson,,https://www.linkedin.com/in/drchristopherpierson,
91763,Eric Kowalchyk,,http://www.linkedin.com/in/erickowalchyk,
91764,Ryan Idryo,,https://www.linkedin.com/in/ryanidryo,
91765,Avikk Ghose,,http://www.linkedin.com/in/avikk,
91766,Michael Goldberg,,https://www.linkedin.com/in/michael-goldberg-2b84175/,
91767,Deanna Bowers,,,
91768,Cynthia Smith,,,
91769,Evrhet Milam,,https://www.linkedin.com/in/emilam/,
87877,Joshua Inkenbrandt,,https://www.linkedin.com/in/joshink,joshink
87882,Ryan Probasco,,,
91770,Ben Kruger,,https://www.linkedin.com/in/benkruger/,
91771,Andy Seidl,,,
91772,Ben Seidl,,https://www.linkedin.com/in/benseidl/,
91774,Patrick O'Leary,,https://www.linkedin.com/in/patricko20,
91775,Jared Diamond,,https://www.linkedin.com/in/jared-diamond-4470084b/,
91776,Patrick Wiseman,,https://linkedin.com/in/thephw,
91777,Sezhiyan Balasubramaniam,,https://www.linkedin.com/in/bala-balasubramaniam-innovation-minds/,
91780,John Culver,,,
